Change Physical Footprint: Designator=ANT*1 Old Footprint=nfc_antenna New Footprint=nfc_antenna
Change Physical Footprint: Designator=B1 Old Footprint=Balum New Footprint=Balum
Change Physical Footprint: Designator=B2 Old Footprint=Balum New Footprint=Balum
Change Physical Footprint: Designator=C1 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C9 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C10 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C12 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C13 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C14 Old Footprint=FP-GJM155-0_05-MFG New Footprint=FP-GJM155-0_05-MFG
Change Physical Footprint: Designator=C15 Old Footprint=FP-GJM155-0_05-MFG New Footprint=FP-GJM155-0_05-MFG
Change Physical Footprint: Designator=C16 Old Footprint=FP-CL282-IPC_C New Footprint=FP-CL282-IPC_C
Change Physical Footprint: Designator=C17 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C18 Old Footprint=FP-GRM188-0_2-IPC_C New Footprint=FP-GRM188-0_2-IPC_C
Change Physical Footprint: Designator=C19 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C20 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C21 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C22 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C23 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C43 Old Footprint=FP-GJM155-0_05-MFG New Footprint=FP-GJM155-0_05-MFG
Change Physical Footprint: Designator=C44 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C46 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=D4 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=D5 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=R10 Old Footprint=FP-RC0603-0_55-IPC_C New Footprint=FP-RC0603-0_55-IPC_C
Change Physical Footprint: Designator=R12 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R14 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R15 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R16 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R17 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=U2 Old Footprint=SOIC127P790X216-8N New Footprint=SOIC127P790X216-8N
