Change Physical Footprint: Designator=ANT*1 Old Footprint=nfc_antenna New Footprint=nfc_antenna
Change Physical Footprint: Designator=B1 Old Footprint=Balum New Footprint=Balum
Change Physical Footprint: Designator=B2 Old Footprint=Balum New Footprint=Balum
Change Physical Footprint: Designator=C1 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C2 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C3 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C4 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C5 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C6 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C7 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C8 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C9 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C10 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C11 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C12 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C13 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C14 Old Footprint=FP-GJM155-0_05-MFG New Footprint=FP-GJM155-0_05-MFG
Change Physical Footprint: Designator=C15 Old Footprint=FP-GJM155-0_05-MFG New Footprint=FP-GJM155-0_05-MFG
Change Physical Footprint: Designator=C16 Old Footprint=FP-CL282-IPC_C New Footprint=FP-CL282-IPC_C
Change Physical Footprint: Designator=C17 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C18 Old Footprint=FP-GRM188-0_2-IPC_C New Footprint=FP-GRM188-0_2-IPC_C
Change Physical Footprint: Designator=C19 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C20 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C21 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C22 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C23 Old Footprint=FP-GRM155-0_2-IPC_A New Footprint=FP-GRM155-0_2-IPC_A
Change Physical Footprint: Designator=C24 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C25 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C26 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C27 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C28 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C29 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C30 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C31 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C32 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C33 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C34 Old Footprint=FP-GCM155-0_05-IPC_B New Footprint=FP-GCM155-0_05-IPC_B
Change Physical Footprint: Designator=C35 Old Footprint=FP-CC0402-MFG New Footprint=FP-CC0402-MFG
Change Physical Footprint: Designator=C36 Old Footprint=FP-GCM188-0_1-IPC_A New Footprint=FP-GCM188-0_1-IPC_A
Change Physical Footprint: Designator=C37 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C38 Old Footprint=CAPC1005X55X25ML05T05 New Footprint=CAPC1005X55X25ML05T05
Change Physical Footprint: Designator=C39 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C40 Old Footprint=CAPC1005X55X25ML05T05 New Footprint=CAPC1005X55X25ML05T05
Change Physical Footprint: Designator=C41 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C42 Old Footprint=CAPC1005X55X25ML05T05 New Footprint=CAPC1005X55X25ML05T05
Change Physical Footprint: Designator=C43 Old Footprint=FP-GJM155-0_05-MFG New Footprint=FP-GJM155-0_05-MFG
Change Physical Footprint: Designator=C44 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C45 Old Footprint=CAPC1005X55X25LL05T10 New Footprint=CAPC1005X55X25LL05T10
Change Physical Footprint: Designator=C46 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C47 Old Footprint=CAPC1005X55X25LL05T10 New Footprint=CAPC1005X55X25LL05T10
Change Physical Footprint: Designator=C48 Old Footprint=CAPC1005X55X25LL05T10 New Footprint=CAPC1005X55X25LL05T10
Change Physical Footprint: Designator=C49 Old Footprint=CAPC1005X55X25LL05T10 New Footprint=CAPC1005X55X25LL05T10
Change Physical Footprint: Designator=C50 Old Footprint=CAPC1005X55X25LL05T10 New Footprint=CAPC1005X55X25LL05T10
Change Physical Footprint: Designator=C51 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C52 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=C53 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C54 Old Footprint=FP-CL10-IPC_C New Footprint=FP-CL10-IPC_C
Change Physical Footprint: Designator=C55 Old Footprint=CAPC1005X55X25ML5T10 New Footprint=CAPC1005X55X25ML5T10
Change Physical Footprint: Designator=C56 Old Footprint=CAPC1005X55X25ML05T10 New Footprint=CAPC1005X55X25ML05T10
Change Physical Footprint: Designator=C57 Old Footprint=CAPC1005X55X25ML5T10 New Footprint=CAPC1005X55X25ML5T10
Change Physical Footprint: Designator=C58 Old Footprint=CAPC1005X55X25ML05T10 New Footprint=CAPC1005X55X25ML05T10
Change Physical Footprint: Designator=C59 Old Footprint=CAPC1005X55X25ML5T10 New Footprint=CAPC1005X55X25ML5T10
Change Physical Footprint: Designator=C60 Old Footprint=CAPC1005X55X25ML05T10 New Footprint=CAPC1005X55X25ML05T10
Change Physical Footprint: Designator=C61 Old Footprint=FP-CC0603-DA-MFG New Footprint=FP-CC0603-DA-MFG
Change Physical Footprint: Designator=D1 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=D2 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=D3 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=D4 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=D5 Old Footprint=FP-CMD15-21-MFG New Footprint=FP-CMD15-21-MFG
Change Physical Footprint: Designator=J1 Old Footprint=AMPHENOL_GSB1C4621DS1HR New Footprint=AMPHENOL_GSB1C4621DS1HR
Change Physical Footprint: Designator=J2 Old Footprint=FP-RF2-04A-T-00-50-G-MFG New Footprint=FP-RF2-04A-T-00-50-G-MFG
Change Physical Footprint: Designator=J3 Old Footprint=FP-RF2-04A-T-00-50-G-MFG New Footprint=FP-RF2-04A-T-00-50-G-MFG
Change Physical Footprint: Designator=J4 Old Footprint=MOLEX KK 0022272031 New Footprint=MOLEX KK 0022272031
Change Physical Footprint: Designator=J5 Old Footprint=MOLEX KK 0022272031 New Footprint=MOLEX KK 0022272031
Change Physical Footprint: Designator=L1 Old Footprint=FP-LQM21PH_G0-IPC_C New Footprint=FP-LQM21PH_G0-IPC_C
Change Physical Footprint: Designator=L2 Old Footprint=FP-LQM21PH_G0-IPC_C New Footprint=FP-LQM21PH_G0-IPC_C
Change Physical Footprint: Designator=L3 Old Footprint=FP-LQM21PH_G0-IPC_C New Footprint=FP-LQM21PH_G0-IPC_C
Change Physical Footprint: Designator=L4 Old Footprint=FP-LQM21PH_G0-IPC_C New Footprint=FP-LQM21PH_G0-IPC_C
Change Physical Footprint: Designator=L5 Old Footprint=FP-LQM21PH_G0-IPC_C New Footprint=FP-LQM21PH_G0-IPC_C
Change Physical Footprint: Designator=R1 Old Footprint=RESC1608X55X25ML10T15 New Footprint=RESC1608X55X25ML10T15
Change Physical Footprint: Designator=R2 Old Footprint=RESC1608X55X25ML10T15 New Footprint=RESC1608X55X25ML10T15
Change Physical Footprint: Designator=R3 Old Footprint=FP-RC0603-0_55-IPC_C New Footprint=FP-RC0603-0_55-IPC_C
Change Physical Footprint: Designator=R4 Old Footprint=RESC1005X40X25NL05T10 New Footprint=RESC1005X40X25NL05T10
Change Physical Footprint: Designator=R5 Old Footprint=RESC1005X40X25NL05T10 New Footprint=RESC1005X40X25NL05T10
Change Physical Footprint: Designator=R6 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R7 Old Footprint=FP-RC0603-0_55-IPC_C New Footprint=FP-RC0603-0_55-IPC_C
Change Physical Footprint: Designator=R8 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R9 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R10 Old Footprint=FP-RC0603-0_55-IPC_C New Footprint=FP-RC0603-0_55-IPC_C
Change Physical Footprint: Designator=R11 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R12 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R13 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R14 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R15 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R16 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R17 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R18 Old Footprint=RESC1005X40X25LL05T10 New Footprint=RESC1005X40X25LL05T10
Change Physical Footprint: Designator=R19 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R20 Old Footprint=RESC1608X55X25ML10T15 New Footprint=RESC1608X55X25ML10T15
Change Physical Footprint: Designator=R21 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R22 Old Footprint=FP-RT0402-MFG New Footprint=FP-RT0402-MFG
Change Physical Footprint: Designator=R23 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=R24 Old Footprint=RESC1608X55X25LL10T15 New Footprint=RESC1608X55X25LL10T15
Change Physical Footprint: Designator=S1 Old Footprint=TE FSM4JSMA New Footprint=TE FSM4JSMA
Change Physical Footprint: Designator=S2 Old Footprint=TE FSM4JSMA New Footprint=TE FSM4JSMA
Change Physical Footprint: Designator=TP1 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP2 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP3 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP4 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP5 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP6 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP7 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP8 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP9 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP10 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP11 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP12 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP13 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=U1 Old Footprint=QFN40P700X700X90-57N New Footprint=QFN40P700X700X90-57N
Change Physical Footprint: Designator=U2 Old Footprint=SOIC127P790X216-8N New Footprint=SOIC127P790X216-8N
