Replace Part B2 LDB182G8AAAEA050 in C:\Users\elias\Desktop\fydp\fydp_proto1\measurment_iq.SchDoc with LDB182G8AAAEA050 from fydp.IntLib
Update Managed Component C47 From CMP-2008-03917-1[GRM1555C1H270JA01D] To CMP-2008-03917-1[GRM1555C1H270JA01D] in measurment_iq.SchDoc
Update Managed Component C48 From CMP-2008-03917-1[GRM1555C1H270JA01D] To CMP-2008-03917-1[GRM1555C1H270JA01D] in measurment_iq.SchDoc
Update Managed Component C49 From CMP-2008-03917-1[GRM1555C1H270JA01D] To CMP-2008-03917-1[GRM1555C1H270JA01D] in measurment_iq.SchDoc
Update Managed Component C50 From CMP-2008-03917-1[GRM1555C1H270JA01D] To CMP-2008-03917-1[GRM1555C1H270JA01D] in measurment_iq.SchDoc
Update Managed Component C51 From CMP-2000-06094-2[CL10B105KP8NNNC] To CMP-2000-06094-2[CL10B105KP8NNNC] in measurment_iq.SchDoc
Update Managed Component C52 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_iq.SchDoc
Update Managed Component C53 From CMP-2000-06094-2[CL10B105KP8NNNC] To CMP-2000-06094-2[CL10B105KP8NNNC] in measurment_iq.SchDoc
Update Managed Component C54 From CMP-2000-06094-2[CL10B105KP8NNNC] To CMP-2000-06094-2[CL10B105KP8NNNC] in measurment_iq.SchDoc
Update Managed Component C55 From CMP-1662-00017-1[GRM155R71H102KA01D] To CMP-1662-00017-1[GRM155R71H102KA01D] in measurment_iq.SchDoc
Update Managed Component C56 From CMP-2008-03915-1[GRM1555C1H101JA01D] To CMP-2008-03915-1[GRM1555C1H101JA01D] in measurment_iq.SchDoc
Update Managed Component C57 From CMP-1662-00017-1[GRM155R71H102KA01D] To CMP-1662-00017-1[GRM155R71H102KA01D] in measurment_iq.SchDoc
Update Managed Component C58 From CMP-2008-03915-1[GRM1555C1H101JA01D] To CMP-2008-03915-1[GRM1555C1H101JA01D] in measurment_iq.SchDoc
Update Managed Component C59 From CMP-1662-00017-1[GRM155R71H102KA01D] To CMP-1662-00017-1[GRM155R71H102KA01D] in measurment_iq.SchDoc
Update Managed Component C60 From CMP-2008-03915-1[GRM1555C1H101JA01D] To CMP-2008-03915-1[GRM1555C1H101JA01D] in measurment_iq.SchDoc
Update Managed Component L2 From CMP-06042-017027-1[LQM21PN1R0NGRD] To CMP-06042-017027-1[LQM21PN1R0NGRD] in measurment_iq.SchDoc
Update Managed Component L3 From CMP-06042-017027-1[LQM21PN1R0NGRD] To CMP-06042-017027-1[LQM21PN1R0NGRD] in measurment_iq.SchDoc
Update Managed Component L4 From CMP-06042-017027-1[LQM21PN1R0NGRD] To CMP-06042-017027-1[LQM21PN1R0NGRD] in measurment_iq.SchDoc
Update Managed Component L5 From CMP-06042-017027-1[LQM21PN1R0NGRD] To CMP-06042-017027-1[LQM21PN1R0NGRD] in measurment_iq.SchDoc
Update Managed Component R22 From CMP-03412-023045-1[RT0402BRD07200RL] To CMP-03412-023045-1[RT0402BRD07200RL] in measurment_iq.SchDoc
Update Managed Component R23 From CMP-2000-06942-1[RC0603FR-074K7L] To CMP-2000-06942-1[RC0603FR-074K7L] in measurment_iq.SchDoc
Update Managed Component R24 From CMP-2000-06942-1[RC0603FR-074K7L] To CMP-2000-06942-1[RC0603FR-074K7L] in measurment_iq.SchDoc
Replace Part TP12 Test Point in C:\Users\elias\Desktop\fydp\fydp_proto1\measurment_iq.SchDoc with Test Point from fydp.IntLib
Replace Part TP13 Test Point in C:\Users\elias\Desktop\fydp\fydp_proto1\measurment_iq.SchDoc with Test Point from fydp.IntLib
Update Managed Component U9 From CMP-0285-00050-1[ADL5380ACPZ-R7] To CMP-0285-00050-1[ADL5380ACPZ-R7] in measurment_iq.SchDoc
Update Managed Component U9 From CMP-0285-00050-1[ADL5380ACPZ-R7] To CMP-0285-00050-1[ADL5380ACPZ-R7] in measurment_iq.SchDoc
Update Managed Component U10 From CMP-0003-02161-1[ADS7945SRTER] To CMP-0003-02161-1[ADS7945SRTER] in measurment_iq.SchDoc
