Replace Part B1 LDB182G8AAAEA050 in C:\Users\elias\Desktop\fydp\fydp_proto1\measurment_synth.SchDoc with LDB182G8AAAEA050 from fydp.IntLib
Update Managed Component C24 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C25 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C26 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C27 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C28 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C29 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C30 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C31 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C32 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C33 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C34 From CMP-06035-054841-1[GCM155R71C393KA37D] To CMP-06035-054841-1[GCM155R71C393KA37D] in measurment_synth.SchDoc
Update Managed Component C35 From CMP-03422-000661-1[CC0402KPX7R9BB272] To CMP-03422-000661-1[CC0402KPX7R9BB272] in measurment_synth.SchDoc
Update Managed Component C36 From CMP-06035-017544-1[GCM1885C1H122JA16J] To CMP-06035-017544-1[GCM1885C1H122JA16J] in measurment_synth.SchDoc
Update Managed Component C37 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C38 From CMP-2100-03589-1[CC0402JRNPO9BN100] To CMP-2100-03589-1[CC0402JRNPO9BN100] in measurment_synth.SchDoc
Update Managed Component C39 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C40 From CMP-2100-03589-1[CC0402JRNPO9BN100] To CMP-2100-03589-1[CC0402JRNPO9BN100] in measurment_synth.SchDoc
Update Managed Component C41 From CMP-2000-05002-2[CC0603KRX7R7BB104] To CMP-2000-05002-2[CC0603KRX7R7BB104] in measurment_synth.SchDoc
Update Managed Component C42 From CMP-2100-03589-1[CC0402JRNPO9BN100] To CMP-2100-03589-1[CC0402JRNPO9BN100] in measurment_synth.SchDoc
Update Managed Component R18 From CMP-2002-08032-1[RC0402JR-07680RL] To CMP-2002-08032-1[RC0402JR-07680RL] in measurment_synth.SchDoc
Update Managed Component R19 From CMP-2000-06942-1[RC0603FR-074K7L] To CMP-2000-06942-1[RC0603FR-074K7L] in measurment_synth.SchDoc
Update Managed Component R20 From CMP-2000-04266-1[RC0603JR-07360RL] To CMP-2000-04266-1[RC0603JR-07360RL] in measurment_synth.SchDoc
Replace Part TP10 Test Point in C:\Users\elias\Desktop\fydp\fydp_proto1\measurment_synth.SchDoc with Test Point from fydp.IntLib
Update Managed Component U8 From CMP-0287-00015-1[ADF4351BCPZ-RL7] To CMP-0287-00015-1[ADF4351BCPZ-RL7] in measurment_synth.SchDoc
Update Managed Component Y1 From CMP-00370-144810711-1[LMK6CE02500DDLFT] To CMP-00370-144810711-1[LMK6CE02500DDLFT] in measurment_synth.SchDoc
