Altium Designer Pick and Place Locations
C:\Users\elias\Desktop\fydp\fydp_proto1\Project Outputs for fydp_proto1\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       29/06/25
Time:       23:33
Revision:   d8f574964d9797a5bad9636f58a33be273b356ec
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R23","RC0603FR-074K7L","TopLayer","RESC1608X55X25LL10T15","3340.000","4660.000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R25","RC0603FR-074K7L","TopLayer","RESC1608X55X25LL10T15","3340.000","4760.000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"J1","217179-0001","TopLayer","FP-2171790001-MFG","5806.059","3969.488","90","CONN RCP USB2.0 TYP C 24P SMD RA"
"C66","GRM1555C1H270JA01D","TopLayer","CAPC1005X55X25LL05T10","3717.874","3617.575","0",""
"C65","GCM155R71C393KA37D","TopLayer","FP-GCM155-0_05-IPC_B","3717.874","3567.575","180","Ceramic Capacitor for Automotive 39nF  10% 16VDC X7R 0402 Paper T/R"
"C64","GCM155R71C393KA37D","TopLayer","FP-GCM155-0_05-IPC_B","3995.000","4505.000","90","Ceramic Capacitor for Automotive 39nF  10% 16VDC X7R 0402 Paper T/R"
"C63","GRM1555C1H270JA01D","TopLayer","CAPC1005X55X25LL05T10","4033.000","4255.000","0",""
"C36","GCM1885C1H122JA16J","TopLayer","FP-GCM188-0_1-IPC_A","4255.000","4792.547","90","Ceramic Capacitor for Automotive 1.2nF   5% 50VDC C0G 0603 Paper T/R"
"R2","RC0603FR-071KL","TopLayer","FP-RC0603-0_55-IPC_C","5586.000","3454.000","90","RES 1K OHM 1% 1/10W 0603"
"R1","RK73H1JTTD91R0F","TopLayer","RESC1608X55X30NL20T10","5513.000","3398.000","270",""
"C62","CC0603KRX7R7BB104","TopLayer","FP-CC0603-DA-MFG","5580.000","4610.000","180","CAP CER 0.1UF 16V X7R 0603"
"U4","TUSB320LAIRWBR","TopLayer","FP-RWB0012A-MFG","5579.409","4712.126","180","IC USB TYPE-C LOGIC/PORT 12X2QFN"
"R14","RC0402FR-07910KL","TopLayer","RESC1005X40X25NL05T10","5607.126","4815.472","270",""
"R13","RT0402BRD07200KL","TopLayer","FP-RT0402-MFG","5497.000","4793.000","180","RES SMD 200K OHM 0.1% 1/16W 0402"
"R12","RT0402BRD07200RL","TopLayer","FP-RT0402-MFG","5902.000","3477.000","90","RES SMD 200 OHM 0.1% 1/16W 0402"
"R11","RT0402BRD07200KL","TopLayer","FP-RT0402-MFG","5490.000","4660.000","270","RES SMD 200K OHM 0.1% 1/16W 0402"
"L1","LQM21PN1R0NGRD","TopLayer","FP-LQM21PH_G0-IPC_C","5750.803","3292.969","180","Multilayer Type Inductor for Power Lines, 0805 (2012), 1 H, 30%, 0.0825O, 1.3A"
"D2","LTST-C190KRKT","TopLayer","FP-LTST-C190KRKT-MFG","5901.575","3358.268","90","LED RED CLEAR CHIP SMD"
"C18","GRM188R61A226ME15D","TopLayer","FP-GRM188-0_2-IPC_C","5585.803","3347.969","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"C16","GRM188R61A226ME15D","TopLayer","FP-GRM188-0_2-IPC_C","5752.000","3497.000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V"
"U12","TPS631000DRLR","TopLayer","SOT50P160X60-8N","5750.803","3402.969","90",""
"C61","CC0603KRX7R7BB104","TopLayer","FP-CC0603-DA-MFG","3069.370","4679.528","270","CAP CER 0.1UF 16V X7R 0603"
"U2","W25Q128JVSIQ","TopLayer","SOIC127P790X216-8N","5519.181","4364.047","0",""
"Y1","LMK6CE02500CDLFR","TopLayer","DLF0004A_MFG","4349.000","4444.000","270",""LOW-JITTER, HIGH-PERFORMANCE, BU" 25 MHz LVCMOS Oscillator 1.8V Enable/Disable 4-VDFN"
"X1","ABM8-272-T3","TopLayer","XTAL_ABM8-272-T3","4755.276","4090.551","270",""
"U10","ADS7945SRTER","TopLayer","TI-RTE16-1700X1700TP_V","4331.929","3580.157","270","14-Bit, 2 MSPS, Dual-Channel, Unipolar, Differential, u-Power SAR ADC, -40 to 85 degC, 16-pin QFN (RTE16), Green (RoHS & no Sb/Br)"
"U9","ADL5380ACPZ-R7","TopLayer","ADI-CP-24-3_N","3893.228","3333.843","180","400 MHz to 6 GHz Quadrature Demodulator, CP-24-3, Pb-Free, 1500 Reel"
"U8","ADF4351BCPZ-RL7","TopLayer","ADI-CP-32-2_L","4145.512","4398.898","270","Wideband Synthesizer with Integrated VCO, CP-32-2, Pb-Free, 1500 Reel"
"U7","TLV73333PDBVR","TopLayer","FP-DBV0005A-MFG","4199.000","3811.000","0","IC REG LINEAR 3.3V 300MA SOT23-5"
"U6","TLV73333PDBVR","TopLayer","FP-DBV0005A-MFG","5618.819","3610.000","180","IC REG LINEAR 3.3V 300MA SOT23-5"
"U5","AP7375-50W5-7","TopLayer","DIODES_SOT25","4447.000","3366.000","180",""
"U3","HDC2010YPAR","TopLayer","FP-YPA0006-MFG","3189.685","4684.685","0","GEN 2 HUMIDITY SENSOR"
"U1","rp2040","TopLayer","QFN40P700X700X90-57N","5059.882","4016.236","270",""
"R24","RC0603FR-074K7L","TopLayer","RESC1608X55X25LL10T15","4000.000","3500.000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R22","RT0402BRD07200RL","TopLayer","FP-RT0402-MFG","3825.000","3190.000","180","RES SMD 200 OHM 0.1% 1/16W 0402"
"R21","RC0603FR-074K7L","TopLayer","RESC1608X55X25LL10T15","3289.000","4873.000","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R20","RC0603JR-07360RL","TopLayer","RESC1608X55X25ML10T15","4140.000","4800.000","0",""
"R19","RC0603FR-074K7L","TopLayer","RESC1608X55X25LL10T15","4203.898","4208.512","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"R18","RC0402JR-07680RL","TopLayer","RESC1005X40X25LL05T10","4230.000","4690.000","0",""
"R17","RT0402BRD07200RL","TopLayer","FP-RT0402-MFG","5430.000","3593.000","270","RES SMD 200 OHM 0.1% 1/16W 0402"
"R16","RT0402BRD07200RL","TopLayer","FP-RT0402-MFG","4335.000","3925.000","180","RES SMD 200 OHM 0.1% 1/16W 0402"
"R15","RT0402BRD07200RL","TopLayer","FP-RT0402-MFG","4326.000","3258.000","90","RES SMD 200 OHM 0.1% 1/16W 0402"
"R10","RC0603FR-071KL","TopLayer","FP-RC0603-0_55-IPC_C","5236.642","3308.000","0","RES 1K OHM 1% 1/10W 0603"
"R9","RC0603FR-074K7L","TopLayer","RESC1608X55X25LL10T15","5185.000","4360.000","0","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
