Comment,Description,Designator,Footprint,LibRef,Quantity

"CC0603KRX7R7BB104","CAP CER 0.1UF 16V X7R 0603","C1, C2, C3, C4, C5, C6, C7, C8, C11, C12, C13, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C37, C39, C41, C46, C52, C61, C62","FP-CC0603-DA-MFG","CMP-2000-05002-2","28"
"CL10B105KP8NNNC","Cap Ceramic 1uF 10V X7R ±10% Pad SMD 0603 +125°C T/R","C9, C10, C19, C44, C51, C53, C54","FP-CL10-IPC_C","CMP-2000-06094-2","7"
"GJM1555C1H150GB01D","Multi-Layer Ceramic Capacitor 15pF C0G  ±2% 0402 Paper T/R","C14, C15","FP-GJM155-0_05-MFG","CMP-2008-03803-2","2"
"GRM188R61A226ME15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 22uF, X5R, 15%, 20%, 10V","C16, C18","FP-GRM188-0_2-IPC_C","CMP-2000-06337-3","2"
"GRM155R61A106ME11D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10uF, X5R, 15%, 20%, 10V","C17, C20, C21, C22, C23","FP-GRM155-0_2-IPC_A","CMP-06035-026070-1","5"
"GCM155R71C393KA37D","Ceramic Capacitor for Automotive 39nF ±10% 16VDC X7R 0402 Paper T/R","C34, C64, C65","FP-GCM155-0_05-IPC_B","CMP-06035-054841-1","3"
"CC0402KPX7R9BB272","CC0402 2.7 nF X7R 10.00% 50 V","C35","FP-CC0402-MFG","CMP-03422-000661-1","1"
"GCM1885C1H122JA16J","Ceramic Capacitor for Automotive 1.2nF  ±5% 50VDC C0G 0603 Paper T/R","C36","FP-GCM188-0_1-IPC_A","CMP-06035-017544-1","1"
"CC0402JRNPO9BN100","Chip Capacitor, 10 pF, +/- 5%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C38, C40, C42","CAPC1005X55X25ML05T05","CMP-2100-03589-1","3"
"GRM1555C1H120GA01D","CAP CER 12PF 50V C0G/NP0 0402","C43","FP-GRM155-0_05-MFG","CMP-2008-03945-2","1"
"GCM1555C1H620GA16J","Ceramic Capacitor for Automotive 62pF ±2% 50VDC C0G 0402 Paper T/R","C45","FP-GCM155-0_05-IPC_B","CMP-06035-017743-1","1"
"GRM1555C1H270JA01D","","C47, C48, C49, C50, C63, C66","CAPC1005X55X25LL05T10","CMP-2008-03917-1","6"
"GRM155R71H102KA01D","Chip Capacitor, 1 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel","C55, C57, C59","CAPC1005X55X25ML5T10","CMP-1662-00017-1","3"
"GRM1555C1H101JA01D","","C56, C58, C60","CAPC1005X55X25ML05T10","CMP-2008-03915-1","3"
"LTST-C190KRKT","LED RED CLEAR CHIP SMD","D1, D2, D3, D4, D5","FP-LTST-C190KRKT-MFG","CMP-1674-00011-2","5"
"217179-0001","CONN RCP USB2.0 TYP C 24P SMD RA","J1","FP-2171790001-MFG","CMP-04767-000028-2","1"
"LQM21PN1R0NGRD","Multilayer Type Inductor for Power Lines, 0805 (2012), 1µH, 30%, 0.0825O, 1.3A","L1, L2, L3, L4, L5","FP-LQM21PH_G0-IPC_C","CMP-06042-017027-1","5"
"RK73H1JTTD91R0F","","R1","RESC1608X55X30NL20T10","CMP-2000-01731-1","1"
"RC0603FR-071KL","RES 1K OHM 1% 1/10W 0603","R2, R3, R7, R10","FP-RC0603-0_55-IPC_C","CMP-1659-00009-5","4"
"RC0402JR-0727RL","","R4, R5","RESC1005X40X25NL05T10","CMP-1011-00036-2","2"
"RT0402BRD07200RL","RES SMD 200 OHM 0.1% 1/16W 0402","R6, R12, R15, R16, R17, R22","FP-RT0402-MFG","CMP-03412-023045-1","6"
"RC0603FR-074K7L","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R8, R9, R19, R21, R23, R24, R25","RESC1608X55X25LL10T15","CMP-2000-06942-1","7"
"RT0402BRD07200KL","RES SMD 200K OHM 0.1% 1/16W 0402","R11, R13","FP-RT0402-MFG","CMP-03412-025742-1","2"
"RC0402FR-07910KL","","R14","RESC1005X40X25NL05T10","CMP-2002-07143-1","1"
"RC0402JR-07680RL","","R18","RESC1005X40X25LL05T10","CMP-2002-08032-1","1"
"RC0603JR-07360RL","","R20","RESC1608X55X25ML10T15","CMP-2000-04266-1","1"
"rp2040","","U1","QFN40P700X700X90-57N","rp2040","1"
"W25Q128JVSIQ","","U2","SOIC127P790X216-8N","W25Q128JVSIQ","1"
"HDC2010YPAR","GEN 2 HUMIDITY SENSOR","U3","FP-YPA0006-MFG","CMP-04948-000007-1","1"
"TUSB320LAIRWBR","IC USB TYPE-C LOGIC/PORT 12X2QFN","U4","FP-RWB0012A-MFG","CMP-04877-000014-1","1"
"AP7375-50W5-7","","U5","DIODES SOT25","AP7375-50W5-7","1"
"TLV73333PDBVR","IC REG LINEAR 3.3V 300MA SOT23-5","U6, U7","FP-DBV0005A-MFG","CMP-04917-000053-1","2"
"ADF4351BCPZ-RL7","Wideband Synthesizer with Integrated VCO, CP-32-2, Pb-Free, 1500 Reel","U8","ADI-CP-32-2_L","CMP-0287-00015-1","1"
"ADL5380ACPZ-R7","400 MHz to 6 GHz Quadrature Demodulator, CP-24-3, Pb-Free, 1500 Reel","U9","ADI-CP-24-3_N","CMP-0285-00050-1","1"
"ADS7945SRTER","14-Bit, 2 MSPS, Dual-Channel, Unipolar, Differential, u-Power SAR ADC, -40 to 85 degC, 16-pin QFN (RTE16), Green (RoHS & no Sb/Br)","U10","TI-RTE16-1700X1700TP_V","CMP-0003-02161-1","1"
"ST25DV64KC-JF6D3","","U11","PSON50P300X300X60-13N","ST25DV64KC-JF6D3","1"
"TPS631000DRLR","","U12","SOT50P160X60-8N","TPS631000DRLR","1"
"ABM8-272-T3","","X1","XTAL_ABM8-272-T3","ABM8-272-T3","1"
"LMK6CE02500CDLFR","""LOW-JITTER, HIGH-PERFORMANCE, BU"" 25 MHz LVCMOS Oscillator 1.8V Enable/Disable 4-VDFN","Y1","DLF0004A_MFG","CMP-00370-144810711-1","1"
